ID;FECHA;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD_KM;MAGNITUD_MI;DEPARTAMENTO;MUNICIPIO;CANTIDAD;DÍA;MES
S_53;23/05/2019;9:57:45;4.693;-75.869;2.78;1;VALLE DEL CAUCA;CARTAGO;1;23;5
S_54;1/07/2019;19:18:49;4.757;-75.984;66.32;1.2;VALLE DEL CAUCA;CARTAGO;1;1;7
S_55;10/07/2019;7:33:01;4.712;-75.961;116.38;0.9;VALLE DEL CAUCA;CARTAGO;1;10;7
S_56;30/07/2019;7:15:09;4.737;-75.984;63.1;0.9;VALLE DEL CAUCA;CARTAGO;1;30;7
S_57;12/08/2019;5:58:40;4.615;-75.869;4.06;3;VALLE DEL CAUCA;CARTAGO;1;12;8
S_58;4/10/2019;2:15:42;4.692;-75.881;12.36;0.8;VALLE DEL CAUCA;CARTAGO;1;4;10
S_59;23/11/2019;15:24:13;4.656;-75.942;11.93;1.3;VALLE DEL CAUCA;CARTAGO;1;23;11
S_60;4/02/2020;13:49:55;4.721;-75.975;68.43;1.4;VALLE DEL CAUCA;CARTAGO;1;4;2
S_61;16/03/2020;7:10:20;4.725;-75.959;55.88;1.2;VALLE DEL CAUCA;CARTAGO;1;16;3
S_62;24/03/2020;13:07:34;4.699;-75.997;56.33;1.5;VALLE DEL CAUCA;CARTAGO;1;24;3
S_63;23/04/2020;6:54:07;4.772;-75.959;107.44;1.4;VALLE DEL CAUCA;CARTAGO;1;23;4
S_64;12/05/2020;16:59:52;4.681;-75.965;119.77;1.6;VALLE DEL CAUCA;CARTAGO;1;12;5
S_65;31/05/2020;2:07:21;4.731;-75.888;92.73;1.2;VALLE DEL CAUCA;CARTAGO;1;31;5
S_66;6/07/2020;14:49:43;4.689;-75.901;53.3;1.2;VALLE DEL CAUCA;CARTAGO;1;6;7
S_67;10/07/2020;9:51:26;4.747;-75.954;130.07;1.3;VALLE DEL CAUCA;CARTAGO;1;10;7
S_68;24/07/2020;20:32:11;4.744;-75.915;50.72;2.5;VALLE DEL CAUCA;CARTAGO;1;24;7
S_69;18/08/2020;10:38:21;4.69;-75.937;22.48;0.9;VALLE DEL CAUCA;CARTAGO;1;18;8
S_70;2/11/2020;7:10:39;4.669;-75.985;20;0.9;VALLE DEL CAUCA;CARTAGO;1;2;11
S_71;5/11/2020;4:19:28;4.687;-75.864;4;0.6;VALLE DEL CAUCA;CARTAGO;1;5;11
S_72;13/11/2020;4:52:57;4.754;-75.95;52.54;1.7;VALLE DEL CAUCA;CARTAGO;1;13;11
S_73;4/12/2020;19:42:17;4.793;-75.923;97.63;2.8;VALLE DEL CAUCA;CARTAGO;1;4;12
S_74;13/01/2021;12:04:07;4.665;-75.913;127.13;2.1;VALLE DEL CAUCA;CARTAGO;1;13;1
S_75;23/02/2021;5:06:58;4.691;-76.003;58.63;1.6;VALLE DEL CAUCA;CARTAGO;1;23;2
S_76;10/03/2021;7:15:51;4.699;-75.96;92.92;1.4;VALLE DEL CAUCA;CARTAGO;1;10;3
S_77;15/05/2021;21:42:13;4.668;-75.997;54.18;1.6;VALLE DEL CAUCA;CARTAGO;1;15;5
S_78;23/05/2021;9:22:20;4.709;-75.936;87.11;1.4;VALLE DEL CAUCA;CARTAGO;1;23;5
S_79;27/06/2021;5:26:27;4.734;-75.987;46.8;1.3;VALLE DEL CAUCA;CARTAGO;1;27;6
S_80;1/09/2021;10:06:24;4.632;-75.856;36.13;1.3;VALLE DEL CAUCA;CARTAGO;1;1;9
S_81;22/11/2021;20:35:54;4.71;-75.858;28.87;1.9;VALLE DEL CAUCA;CARTAGO;1;22;11
S_82;1/01/2022;12:43:59;4.752;-75.971;110.73;1.6;VALLE DEL CAUCA;CARTAGO;1;1;1
S_83;8/03/2022;4:11:16;4.696;-75.987;26.17;1.3;VALLE DEL CAUCA;CARTAGO;1;8;3
