ID;FECHA;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD_KM;MAGNITUD_MI;DEPARTAMENTO;MUNICIPIO;CANTIDAD;DÍA;MES
S_229;18/08/2024;6:27:58;4.782;-75.966;64.36;1.5;VALLE DEL CAUCA;CARTAGO;1;18;8
S_230;23/08/2024;21:10:49;4.752;-75.959;44.8;0.9;VALLE DEL CAUCA;CARTAGO;1;23;8
S_231;24/08/2024;12:57:15;4.735;-75.98;49.73;1.6;VALLE DEL CAUCA;CARTAGO;1;24;8
S_232;29/08/2024;4:12:17;4.754;-75.971;47.38;0.9;VALLE DEL CAUCA;CARTAGO;1;29;8
S_233;29/08/2024;8:00:57;4.685;-76.007;47.62;1.4;VALLE DEL CAUCA;CARTAGO;1;29;8
S_234;29/08/2024;14:45:10;4.784;-75.952;46.21;1.2;VALLE DEL CAUCA;CARTAGO;1;29;8
S_235;30/08/2024;3:40:37;4.67;-75.847;16.45;1.2;VALLE DEL CAUCA;CARTAGO;1;30;8
S_236;7/09/2024;12:54:35;4.717;-75.949;58.56;1;VALLE DEL CAUCA;CARTAGO;1;7;9
S_237;7/09/2024;23:46:05;4.75;-75.974;49.26;1.3;VALLE DEL CAUCA;CARTAGO;1;7;9
S_238;8/09/2024;14:55:02;4.782;-75.963;49.96;1.8;VALLE DEL CAUCA;CARTAGO;1;8;9
S_239;13/09/2024;10:15:34;4.773;-75.954;45.74;1.1;VALLE DEL CAUCA;CARTAGO;1;13;9
S_240;16/09/2024;19:48:32;4.79;-75.925;33.09;0.9;VALLE DEL CAUCA;CARTAGO;1;16;9
S_241;27/09/2024;19:56:11;4.798;-75.953;47.27;1;VALLE DEL CAUCA;CARTAGO;1;27;9
S_242;3/10/2024;10:59:33;4.657;-75.948;46.68;1.3;VALLE DEL CAUCA;CARTAGO;1;3;10
S_243;10/10/2024;16:14:15;4.676;-75.907;34.26;1.2;VALLE DEL CAUCA;CARTAGO;1;10;10
S_244;21/10/2024;8:59:05;4.754;-75.967;47.62;1.1;VALLE DEL CAUCA;CARTAGO;1;21;10
S_245;31/10/2024;8:40:47;4.754;-75.982;48.32;1.3;VALLE DEL CAUCA;CARTAGO;1;31;10
S_246;2/11/2024;8:59:26;4.74;-75.974;53.44;1.1;VALLE DEL CAUCA;CARTAGO;1;2;11
S_247;11/11/2024;17:09:31;4.677;-75.902;66.64;1.2;VALLE DEL CAUCA;CARTAGO;1;11;11
S_248;15/11/2024;8:41:57;4.759;-75.976;47.85;0.9;VALLE DEL CAUCA;CARTAGO;1;15;11
S_249;22/11/2024;19:49:56;4.761;-75.971;47.38;1.9;VALLE DEL CAUCA;CARTAGO;1;22;11
S_250;3/12/2024;23:22:17;4.733;-75.886;119.61;1.5;VALLE DEL CAUCA;CARTAGO;1;3;12
S_251;15/12/2024;7:33:39;4.742;-75.912;52.77;1.4;VALLE DEL CAUCA;CARTAGO;1;15;12
S_252;18/12/2024;7:43:12;4.742;-75.978;48.09;1.3;VALLE DEL CAUCA;CARTAGO;1;18;12
S_253;22/12/2024;6:47:56;4.765;-75.952;49.02;1.2;VALLE DEL CAUCA;CARTAGO;1;22;12
S_254;27/12/2024;16:36:02;4.773;-75.954;48.09;1.4;VALLE DEL CAUCA;CARTAGO;1;27;12
S_255;31/12/2024;4:48:19;4.757;-75.952;48.32;0.8;VALLE DEL CAUCA;CARTAGO;1;31;12
